name,price_current,price_original,reviews_number,seller,score,Marca,Series,Color,Alto del producto,Ancho del producto,Tamaño de la pantalla,Resolución de la pantalla,Marca del procesador,Tipo de procesador,Velocidad del procesador,Tamaño de RAM,Tecnología de la memoria,Tipo de memoria del equipo,Memoria máxima compatible,Tamaño de la unidad de disco duro,Descripción del disco duro,Interfaz de la unidad de disco duro,Coprocesador de gráficos,Descripción de la tarjeta gráfica,Tipo de RAM para gráficos,Tamaño de RAM de la tarjeta gráfica,Interfaz de la tarjeta gráfica,Tipo de conexión inalámbrica,Número de puertos USB 2.0,Número de puertos USB 3.0,Tipo de unidad óptica,Sistema operativo,Lithium Battery Energy Content,Number of Lithium Ion Cells, ,Peso del envío,Número de modelo del producto,Producto en Amazon.com.mx desde
"
                
                    
                    
                

                
                    
                    
                        Huawei MateBook D 15"" - AMD Ryzen, Windows 10-8+256 GB,15.6 Pulgadas, Color Plateado (Mystic Silver)
                    
                

                
                    
                    
                
            ","$14,999.00",,156 calificaciones,Huawei,4.7 de 5 estrellas,Huawei,Matebook D 15,Gris,17 millimeters,35.8 centimeter,15,1920 x 1080,AMD,Ryzen 5 3500U,2.2 GHz,8 GB,DDR4,DDR4 SDRAM,8 GB,256,Flash Memory Solid State,PCIE x 2,AMD Radeon RX Vega 8,Integrated,DDR4 SDRAM,8,Integrado,Bluetooth,2,1,None,Windows 10 Home,42 watt_hours,2, ,2.3 Kg,6901443370764,20 de febrero de 2020
"
                
                    
                    
                

                
                    
                    
                        Asus Laptop VivoBook 15.6"", Core i7,  8GB RAM, 512GB SSD + 32GB Optane, X512FA-BR1412T
                    
                

                
                    
                    
                
            ","$17,999.00"," $19,999.00",,Asus,,Asus,X512FA-BR1412T,,,,15.6 inches,,Intel,Core i7-10510U,1.8 GHz,8 GB,DDR4,,12 GB,8 GB,Unidad híbrida,PCIE x 4,,Integrada,DDR4 SDRAM,8 GB,Integrado,,2,2,Ninguno,Windows 10,1 kilowatt_hours,1, ,2.5 Kg,,10 de marzo de 2020
"
                
                    
                    
                

                
                    
                    
                        Asus X512DA-BR657T Notebook_Computer, Bluetooth+ Wi-Fi, 15.6inches, AMD C_Series_Dual_Core_C_50 2.5GHz, 4GB,, GB, Windows 10, Coral
                    
                

                
                    
                    
                
            ","$10,999.00"," $12,499.00",,Asus,,Asus,ASUS VivoBook 15,Coral,23 centimeter,20 millimeters,15.6 inches,,AMD,C-Series Dual Core C-50,2.5 GHz,4 GB,,,12 GB,,SATA 1TB 5400RPM 2.5' HDD/ SATA3 128G M.2 SSD,,AMD Radeon Vega 3,,,,,802.11ac,,2,,Windows 10,42 watt_hours,1, ,2.6 Kg,X512DA-BR657T,5 de agosto de 2019
"
                
                    
                    
                

                
                    
                    
                        Lenovo Laptop 330-15IGM 15.6 "" Intel Pentium 4GB 500GB
                    
                

                
                    
                    
                
            ","$7,499.00",,23 calificaciones,Lenovo,3.6 de 5 estrellas,Lenovo,330-15IGM,Plateado,23 millimeters,35.8 centimeter,15.6 inches,,Intel,None,1.1 GHz,4,DDR4 SDRAM,,8 GB,500,,eSATA,Intel UHD Graphics 600,Integrada,DDR4 SDRAM,,Integrado,802.11ac,1,1,DVD+RW,Windows 10,5.5 watt_hours,2, ,2.7 Kg,81D100EDUS,7 de enero de 2019
"
                
                    
                    
                

                
                    
                    
                        Dell Inspiron 11 3195, 2 en 1, 7ª generación AMD A9-9420e W/Radeon R5 Graphics, 4 GB DDR4 2666MHz RAM, 64 GB HD, 11.6"" HD (1366 x 768) Pantalla táctil con retroiluminación LED (i3195-A525GRY-PUS)
                    
                

                
                    
                    
                
            ","$6,599.00",,66 calificaciones,Dell,3.9 de 5 estrellas,Dell,Inspiron 11 3195 2 in 1,,,,11.6 inches,,AMD,AMD A Series,64 GHz,4 GB,"SDRAM, DDR4",DDR4 SDRAM,8 GB,64 GB,,eSATA,AMD Radeon R5,Integrated,DDR4 SDRAM,,Integrado,802.11bgn,2,,None,Windows 10 Home,35 watt_hours,4, ,2 Kg,i3195-A525GRY-PUS,17 de julio de 2019
"
                
                    
                    
                

                
                    
                    
                        LAPTOP GAMING DELL G3 15.6"", GEFORCE GTX 1050,  CORE i5 9 Gen. RAM 8GB, 256 SSD BLANCO (G3590W_i582561050W10s_520)
                    
                

                
                    
                    
                
            ","$19,299.00"," $21,499.01",74 calificaciones,Dell,4.4 de 5 estrellas,Dell,Gaming G3 15,,9 millimeters,36.6 centimeter,15.6 inches,,Intel,Intel Core i5,4.1 GHz,8 GB,,,32 GB,,,,NVIDIA GeForce GTX 1050,nvidia_geforce_gtx_1050,,,,802.11ac,,,,Windows 10,51 watt_hours,3, ,3.5 Kg,G3590W_i582561050W10s_520,5 de agosto de 2019
"
                
                    
                    
                

                
                    
                    
                        HP Laptop 15-DA0001LA, Intel Celeron N4000, Ram 4 GB, Disco Duro 500GB, Windows 10 Home, 15.6"", Sin Unidad Óptica
                    
                

                
                    
                    
                
            ","$7,974.33",,124 calificaciones,HP,4.0 de 5 estrellas,HP,15-DA001LA,Gris,22 millimeters,24.6 centimeter,15.6 inches,1366 x 768 Pixeles,Intel,Intel Celeron,2.6 GHz,4 GB,DDR4-SDRAM,,4 GB,500 GB,,Serial ATA,,No disponible,,,,802.11bgn,1,2,No,Windows 10,48 watt_hours,1, ,2.5 Kg,3PX26LA ABM,13 de junio de 2018
"
                
                    
                    
                

                
                    
                    
                        HUAWEI Matebook 13 New- Computadora portátil ultradelgada 13"" (Intel Core i5-8265U, 8GB RAM + 512GB SSD, Nvidia GeForce MX250, Windows 10), Color Mystic Silver
                    
                

                
                    
                    
                
            ","$20,999.00",,57 calificaciones,Huawei,4.3 de 5 estrellas,HUAWEI,Matebook 13,,15 millimeters,28.6 centimeter,13 inches,,Intel,Intel Core i5,3.9 GHz,8 GB,DDR4,SDRAM,8 GB,,Memoria flash de estado sólido,,NVIDIA GeForce MX250,Integrada,DDR4 SDRAM,,Integrado,,,2,Ninguno,Windows 10,41.80 watt_hours,1, ,2.2 Kg,Wright W19GL,14 de enero de 2020
"
                
                    
                    
                

                
                    
                    
                        Asus Laptop VivoBook 15.6"", Radeon Vega 8, Ryzen 5, 8GB RAM, 1TB HDD, Azul, X512DA-BR052T
                    
                

                
                    
                    
                
            ","$12,999.00",,,Asus,,Asus,X512DA-BR052T,,,,15.6 inches,,AMD,Ryzen 5 3500U,3.6 GHz,8 GB,DDR4,,12 GB,1 TB,Disco duro mecánico,Serial ATA,AMD Radeon RX Vega 8,Integrada,DDR DRAM,,Integrado,,1,2,Ninguno,Windows 10,1 kilowatt_hours,1, ,2.6 Kg,,31 de marzo de 2020
"
                
                    
                    
                

                
                    
                    
                        Lenovo V110 Portátil, 14"", Intel Celeron 1.10GHz, 4GB, Windows 10
                    
                

                
                    
                    
                
            ","$6,499.00",,15 calificaciones,Lenovo,2.3 de 5 estrellas,Lenovo,V110,Black,24 millimeters,34.4 centimeter,14 inches,,Intel,Intel Celeron,1.1 GHz,4 GB,,,4 GB,,,,,,,,,802.11ac,,1,,Windows 10,45 watt_hours,, ,2.4 Kg,V110,27 de julio de 2017
