,name,price_current,price_original,reviews_number,seller,score,brand,Series,Color,height_cm,width_cm,screen_size_in,resolution_x,resolution_y,proc_brand,Tipo de procesador,proc_speed_ghz,ram,Tecnología de la memoria,ram_type,ram_max,memory,Descripción del disco duro,memory_interface,Coprocesador de gráficos,Descripción de la tarjeta gráfica,Tipo de RAM para gráficos,gpu_ram,gpu_interface,Tipo de conexión inalámbrica,usb_2,usb_3,Tipo de unidad óptica,os,battery_wh,battery_cells,weight_kg,Número de modelo del producto,since
0,"Huawei MateBook D 15"" - AMD Ryzen, Windows 10-8+256 GB,15.6 Pulgadas, Color Plateado (Mystic Silver)",14999.0,,156,Huawei,4.7,Huawei,Matebook D 15,Gris,0.17,35.8,15.0,1920,1080,AMD,Ryzen 5 3500U,2.2,8,DDR4,DDR4,8.0,256,Flash Memory Solid State,PCIE x 2,AMD Radeon RX Vega 8,Integrated,DDR4 SDRAM,8,Integrado,Bluetooth,2,1,None,Windows 10 Home,42,2.0,2.3,6901443370764,2020-02-20
1,"Asus Laptop VivoBook 15.6"", Core i7,  8GB RAM, 512GB SSD + 32GB Optane, X512FA-BR1412T",17999.0,19999.0,,Asus,,Asus,X512FA-BR1412T,,,,16.0,,,Intel,Core i7-10510U,1.8,8,DDR4,,12.0,8,Unidad híbrida,PCIE x 4,,Integrada,DDR4 SDRAM,8,Integrado,,2,2,Ninguno,Windows 10,1000,1.0,2.5,,2020-03-10
2,"Asus X512DA-BR657T Notebook_Computer, Bluetooth+ Wi-Fi, 15.6inches, AMD C_Series_Dual_Core_C_50 2.5GHz, 4GB,, GB, Windows 10, Coral",10999.0,12499.0,,Asus,,Asus,ASUS VivoBook 15,Coral,23.0,0.2,16.0,,,AMD,C-Series Dual Core C-50,2.5,4,,,12.0,,SATA 1TB 5400RPM 2.5' HDD/ SATA3 128G M.2 SSD,,AMD Radeon Vega 3,,,,,802.11ac,,2,,Windows 10,42,1.0,2.6,X512DA-BR657T,2019-08-05
3,"Lenovo Laptop 330-15IGM 15.6 "" Intel Pentium 4GB 500GB",7499.0,,23,Lenovo,3.6,Lenovo,330-15IGM,Plateado,0.23,35.8,16.0,,,Intel,None,1.1,4,DDR4 SDRAM,,8.0,500,,eSATA,Intel UHD Graphics 600,Integrada,DDR4 SDRAM,,Integrado,802.11ac,1,1,DVD+RW,Windows 10,5,2.0,2.7,81D100EDUS,2019-01-07
4,"Dell Inspiron 11 3195, 2 en 1, 7ª generación AMD A9-9420e W/Radeon R5 Graphics, 4 GB DDR4 2666MHz RAM, 64 GB HD, 11.6"" HD (1366 x 768) Pantalla táctil con retroiluminación LED (i3195-A525GRY-PUS)",6599.0,,66,Dell,3.9,Dell,Inspiron 11 3195 2 in 1,,,,12.0,,,AMD,AMD A Series,64.0,4,"SDRAM, DDR4",DDR4,8.0,64,,eSATA,AMD Radeon R5,Integrated,DDR4 SDRAM,,Integrado,802.11bgn,2,,None,Windows 10 Home,35,4.0,2.0,i3195-A525GRY-PUS,2019-07-17
5,"LAPTOP GAMING DELL G3 15.6"", GEFORCE GTX 1050,  CORE i5 9 Gen. RAM 8GB, 256 SSD BLANCO (G3590W_i582561050W10s_520)",19299.0,21499.01,74,Dell,4.4,Dell,Gaming G3 15,,0.09,36.6,16.0,,,Intel,Intel Core i5,4.1,8,,,32.0,,,,NVIDIA GeForce GTX 1050,nvidia_geforce_gtx_1050,,,,802.11ac,,,,Windows 10,51,3.0,3.5,G3590W_i582561050W10s_520,2019-08-05
6,"HP Laptop 15-DA0001LA, Intel Celeron N4000, Ram 4 GB, Disco Duro 500GB, Windows 10 Home, 15.6"", Sin Unidad Óptica",7974.33,,124,HP,4.0,HP,15-DA001LA,Gris,0.22,24.6,16.0,1366,768,Intel,Intel Celeron,2.6,4,DDR4-SDRAM,,4.0,500,,Serial ATA,,No disponible,,,,802.11bgn,1,2,No,Windows 10,48,1.0,2.5,3PX26LA ABM,2018-06-13
7,"HUAWEI Matebook 13 New- Computadora portátil ultradelgada 13"" (Intel Core i5-8265U, 8GB RAM + 512GB SSD, Nvidia GeForce MX250, Windows 10), Color Mystic Silver",20999.0,,57,Huawei,4.3,HUAWEI,Matebook 13,,0.15,28.6,13.0,,,Intel,Intel Core i5,3.9,8,DDR4,SDRAM,8.0,,Memoria flash de estado sólido,,NVIDIA GeForce MX250,Integrada,DDR4 SDRAM,,Integrado,,,2,Ninguno,Windows 10,41,1.0,2.2,Wright W19GL,2020-01-14
8,"Asus Laptop VivoBook 15.6"", Radeon Vega 8, Ryzen 5, 8GB RAM, 1TB HDD, Azul, X512DA-BR052T",12999.0,,,Asus,,Asus,X512DA-BR052T,,,,16.0,,,AMD,Ryzen 5 3500U,3.6,8,DDR4,,12.0,1,Disco duro mecánico,Serial ATA,AMD Radeon RX Vega 8,Integrada,DDR DRAM,,Integrado,,1,2,Ninguno,Windows 10,1000,1.0,2.6,,2020-03-31
9,"Lenovo V110 Portátil, 14"", Intel Celeron 1.10GHz, 4GB, Windows 10",6499.0,,15,Lenovo,2.3,Lenovo,V110,Black,0.24,34.4,14.0,,,Intel,Intel Celeron,1.1,4,,,4.0,,,,,,,,,802.11ac,,1,,Windows 10,45,,2.4,V110,2017-07-27
