,name,price_current,price_original,reviews_number,seller,score,brand,height_cm,width_cm,screen_size_in,proc_brand,proc_speed_ghz,ram,ram_type,ram_max,memory,os,battery_wh,battery_cells,weight_kg,since
0,"Huawei MateBook D 15"" - AMD Ryzen, Windows 10-8+256 GB,15.6 Pulgadas, Color Plateado (Mystic Silver)",14999.0,14999.0,156,huawei,4.7,huawei,0.17,35.8,15,AMD,2.2,8,DDR4,8,256,Windows,42,2,2.3,2020-02-20
1,"Asus Laptop VivoBook 15.6"", Core i7,  8GB RAM, 512GB SSD + 32GB Optane, X512FA-BR1412T",17999.0,19999.0,28,asus,4.0,asus,0.22,25.45,16,Intel,1.8,8,DDR4,12,8,Windows,42,1,2.5,2020-03-10
2,"Asus X512DA-BR657T Notebook_Computer, Bluetooth+ Wi-Fi, 15.6inches, AMD C_Series_Dual_Core_C_50 2.5GHz, 4GB,, GB, Windows 10, Coral",10999.0,12499.0,28,asus,4.0,asus,0.22,25.45,16,AMD,2.5,4,DDR4,12,256,Windows,42,1,2.6,2019-08-05
3,"Lenovo Laptop 330-15IGM 15.6 "" Intel Pentium 4GB 500GB",7499.0,7499.0,23,lenovo,3.6,lenovo,0.23,35.8,16,Intel,1.1,4,DDR4,8,500,Windows,5,2,2.7,2019-01-07
4,"Dell Inspiron 11 3195, 2 en 1, 7ª generación AMD A9-9420e W/Radeon R5 Graphics, 4 GB DDR4 2666MHz RAM, 64 GB HD, 11.6"" HD (1366 x 768) Pantalla táctil con retroiluminación LED (i3195-A525GRY-PUS)",6599.0,6599.0,66,dell,3.9,dell,0.22,25.45,12,AMD,2.3,4,DDR4,8,64,Windows,35,4,2.0,2019-07-17
5,"LAPTOP GAMING DELL G3 15.6"", GEFORCE GTX 1050,  CORE i5 9 Gen. RAM 8GB, 256 SSD BLANCO (G3590W_i582561050W10s_520)",19299.0,21499.01,74,dell,4.4,dell,0.09,36.6,16,Intel,4.1,8,DDR4,32,256,Windows,51,3,3.5,2019-08-05
6,"HP Laptop 15-DA0001LA, Intel Celeron N4000, Ram 4 GB, Disco Duro 500GB, Windows 10 Home, 15.6"", Sin Unidad Óptica",7974.33,7974.33,124,hp,4.0,hp,0.22,24.6,16,Intel,2.6,4,DDR4,4,500,Windows,48,1,2.5,2018-06-13
7,"HUAWEI Matebook 13 New- Computadora portátil ultradelgada 13"" (Intel Core i5-8265U, 8GB RAM + 512GB SSD, Nvidia GeForce MX250, Windows 10), Color Mystic Silver",20999.0,20999.0,57,huawei,4.3,huawei,0.15,28.6,13,Intel,3.9,8,SDRAM,8,256,Windows,41,1,2.2,2020-01-14
8,"Asus Laptop VivoBook 15.6"", Radeon Vega 8, Ryzen 5, 8GB RAM, 1TB HDD, Azul, X512DA-BR052T",12999.0,12999.0,28,asus,4.0,asus,0.22,25.45,16,AMD,3.6,8,DDR4,12,1,Windows,42,1,2.6,2020-03-31
9,"Lenovo V110 Portátil, 14"", Intel Celeron 1.10GHz, 4GB, Windows 10",6499.0,6499.0,15,lenovo,2.3,lenovo,0.24,34.4,14,Intel,1.1,4,DDR4,4,256,Windows,45,3,2.4,2017-07-27
